Country,CountryName,TotalCase,NewCase,TotalDeath,NewDeath,TotalRecoverd,Active,Serious,TotalTests,Population,Date
J,Japan,309214,6591,4315 ,82,238467,66432,934,5718894,126265239,01/15/21
P,Panama,293592,2307,4689 ,38,234295,54608,233,1503559,4351367,01/15/21
N,Nepal,266816,270,1948 ,5,260567,4301,0,2005125,29418744,01/15/21
U,UAE,246376,3407,733 ,7,218988,26655,0,23088058,9954960,01/15/21
G,Georgia,245789,1177,2893 ,26,229196,13700,0,2032580,3984993,01/15/21
L,Lebanon,243286,6154,1825 ,44,147746,93715,681,2329843,6808756,01/15/21
E,Ecuador,226866,864,14273 ,27,193581,19012,452,801410,17787475,01/15/21
A,Azerbaijan,226549,349,2983 ,12,213773,9793,0,2302843,10188653,01/15/21
C,Croatia,223812,715,4550 ,33,214609,4653,160,1107887,4091430,01/15/21
B,Belarus,221604,1941,1564 ,10,204500,15540,0,4216095,9447630,01/15/21
S,Slovakia,220707,2729,3362 ,102,163323,54022,530,1592287,5461082,01/15/21
B,Bulgaria,211503,552,8457 ,61,156030,47016,343,1263825,6919835,01/15/21
D,Dominican Republic,188969,1482,2432 ,4,140931,45606,317,938753,10906762,01/15/21
D,Denmark,187320,659,1720 ,17,165166,20434,129,11721588,5803284,01/15/21
C,Costa Rica,184187,945,2416 ,15,141374,40397,245,546784,5119299,01/15/21
B,Bolivia,181016,2198,9530 ,37,141736,29750,71,469261,11758950,01/15/21
T,Tunisia,175065,4170,5528 ,50,125635,43902,369,739683,11885503,01/15/21
I,Ireland,166548,3491,2536 ,48,23364,140648,187,2745230,4967603,01/15/21
K,Kazakhstan,166146,835,2349 ,0,151838,11959,221,5942556,18898053,01/15/21
L,Lithuania,165560,1149,2376 ,30,100495,62689,147,1788755,2701436,01/15/21
A,Armenia,163972,396,2974 ,11,152320,8678,0,619066,2966255,01/15/21
K,Kuwait,156964,530,947 ,1,150329,5688,48,1380643,4304627,01/15/21
E,Egypt,154620,879,8473 ,52,121792,24355,90,1000000,103372131,01/15/21
M,Moldova,152263,576,3228 ,17,141975,7060,224,591071,4028851,01/15/21
P,Palestine,151142,637,1687 ,22,137648,11807,87,953944,5164968,01/15/21
M,Malaysia,151066,3211,586 ,8,115227,35253,204,3865363,32589917,01/15/21
G,Greece,147860,577,5421 ,34,9989,132450,319,3757430,10395249,01/15/21
G,Guatemala,147560,623,5177 ,26,133217,9166,5,692210,18093795,01/15/21
S,Slovenia,147016,1538,3121 ,28,120894,23001,196,740334,2079094,01/15/21
Q,Qatar,146885,196,246 ,0,143435,3204,28,1311760,2807805 ,01/15/21
M,Myanmar,133378,513,2926 ,14,116610,13842,0,2097332,54607573,01/15/21
H,Honduras,131963,954,3335 ,15,59963,68665,220,336727,9989483,01/15/21
O,Oman,131264,0,1509 ,0,123593,6162,21,883340,5176115,01/15/21
E,Ethiopia,130326,404,2023 ,15,115428,12875,223,1876040,116487982,01/15/21
P,Paraguay,120789,1149,2479 ,13,95815,22495,187,601411,7179864,01/15/21
V,Venezuela,118856,441,1095 ,5,112320,5441,122,2463702,28391992,01/15/21
B,Bosnia and Herzegovina,117011,0,4411 ,0,84650,27950,0,556009,3269665,01/15/21
L,Libya,108017,583,1651 ,6,85068,21298,0,592564,6921717,01/15/21
N,Nigeria,107345,1867,1413 ,8,84535,21397,10,1135535,208874582,01/15/21
A,Algeria,103381,254,2827 ,5,70188,30366,42,0,44277021,01/15/21
K,Kenya,98859,166,1726 ,3,82195,14938,29,1114198,54406630,01/15/21
B,Bahrain,97020,208,357 ,1,93726,2937,18,2530856,1732998,01/15/21
N,North Macedonia,88389,403,2682 ,10,69476,16231,138,428006,2083327,01/15/21
C,China,87988,144,4635 ,0,82352,1001,26,160000000,1439323776 ,01/15/21
K,Kyrgyzstan,82857,134,1381 ,3,78715,2761,50,625461,6582166,01/15/21
U,Uzbekistan,77845,68,619 ,1,76335,891,158,1377915,33730812,01/15/21
S,S. Korea,71241,513,1217 ,22,56536,13488,374,4978075,51293198,01/15/21
A,Albania,66635,641,1265 ,4,39625,25745,39,303239,2876085,01/15/21
S,Singapore,59059,30,29 ,0,58771,259,0,5837181,5875270,01/15/21
N,Norway,58202,466,517 ,6,46611,11074,47,3122606,5444209,01/15/21
G,Ghana,56981,0,341 ,0,55236,1404,44,701137,31421155,01/15/21
M,Montenegro,54730,414,741 ,1,44388,9601,68,205703,628109,01/15/21
L,Latvia,54066,1084,935 ,15,40971,12160,73,1018880,1874768,01/15/21
A,Afghanistan,53938,107,2336 ,12,45434,6168,713,223381,39398444,01/15/21
S,Sri Lanka,51594,695,255 ,4,44259,7080,0,1446010,21462010,01/15/21
E,El Salvador,50157,0,1469 ,10,44304,4384,106,655591,6503969,01/15/21
L,Luxembourg,48630,144,549 ,4,45654,2427,21,1784585,631464,01/15/21
F,Finland,39911,318,618 ,2,31000,8293,28,2625943,5545402,01/15/21
U,Uganda,38085,0,304 ,0,13083,24698,0,793837,46510327,01/15/21
E,Estonia,36096,476,316 ,5,25553,10227,45,701091,1327021,01/15/21
Z,Zambia,34278,1478,527 ,13,24105,9646,293,749242,18658898,01/15/21
U,Uruguay,30946,957,291 ,11,22423,8232,116,738310,3480271,01/15/21
N,Namibia,29889,319,280 ,5,26254,3355,30,237487,2565659,01/15/21
A,Australia,28665,7,909 ,0,25880,1876,1,12315517,25659777,01/15/21
C,Cyprus,28609,244,166 ,0,2057,26386,57,882303,1212123,01/15/21
C,Cameroon,27336,0,451 ,0,24892,1993,46,149000,26899560,01/15/21
Z,Zimbabwe,26109,741,666 ,30,15414,10029,0,238458,14979610,01/15/21
S,Sudan,25730,0,1576 ,0,15240,8914,0,0,44397899,01/15/21
M,Mozambique,25004,735,216 ,5,18371,6417,0,298575,31723054,01/15/21
I,Ivory Coast,24856,278,141 ,1,23104,1611,0,293382,26727944,01/15/21
S,Senegal,22396,218,506 ,10,18908,2982,34,294335,16979849,01/15/21
D,DRC,20556,77,628 ,2,14774,5154,0,0,91012808,01/15/21
A,Angola,18679,66,428 ,3,16120,2131,21,174111,33410948,01/15/21
M,Madagascar,18001,0,267 ,0,17447,287,16,102830,28071829,01/15/21
F,French Polynesia,17635,45,126 ,0,4842,12667,16,26355,281789,01/15/21
B,Botswana,17365,0,71 ,0,13519,3775,1,584169,2377131,01/15/21
C,Cuba,17096,547,162 ,2,12942,3992,40,1663559,11322850,01/15/21
M,Mauritania,15963,70,400 ,4,14318,1245,45,135581,4715008,01/15/21
M,Malta,15272,193,236 ,1,12393,2643,18,560786,442182,01/15/21
F,French Guiana,14654,0,74 ,0,9995,4585,5,115507,302823,01/15/21
M,Maldives,14375,50,49 ,0,13474,852,54,358426,545667,01/15/21
G,Guinea,14065,14,81 ,0,13318,666,24,112729,13323150,01/15/21
J,Jamaica,13992,77,323 ,1,11630,2039,8,149888,2968186,01/15/21
T,Tajikistan,13308,0,90 ,0,13218,0,0,0,9652518,01/15/21
S,Syria,12850,90,817 ,8,6405,5628,0,0,17728318,01/15/21
C,Cabo Verde,12776,112,118 ,3,12054,604,23,107817,559252,01/15/21
E,Eswatini,12532,205,343 ,8,8076,4113,67,109783,1166661,01/15/21
B,Belize,11529,73,281 ,1,10650,598,3,64926,401511,01/15/21
T,Thailand,11450,188,69 ,0,8288,3093,1,1217873,69895201,01/15/21
M,Malawi,11223,1232,291 ,16,5974,4958,4,104746,19394359,01/15/21
H,Haiti,10635,0,238 ,0,8903,1494,0,44968,11477618,01/15/21
R,Rwanda,10573,257,138 ,5,7028,3407,0,785049,13124089,01/15/21
G,Gabon,9899,80,66 ,0,9658,175,10,405833,2253872,01/15/21
H,Hong Kong,9453,38,161 ,0,8684,608,41,5845073,7529929,01/15/21
R,Réunion,9446,40,45 ,3,9053,348,5,84769,898775,01/15/21
A,Andorra,8946,78,88 ,0,8116,742,15,180088,77332,01/15/21
G,Guadeloupe,8886,0,154 ,0,2242,6490,3,109535,400161,01/15/21
B,Burkina Faso,8882,73,97 ,0,7027,1758,0,0,21209499,01/15/21
B,Bahamas,8021,10,175 ,0,6507,1339,11,55753,395278,01/15/21
M,Mali,7800,41,308 ,3,5478,2014,0,136739,20562129,01/15/21
C,Congo,7709,549,114 ,2,5846,1749,0,73120,5590803,01/15/21
S,Suriname,7409,109,139 ,0,6621,649,11,31619,589478,01/15/21
T,Trinidad and Tobago,7343,23,130 ,0,6913,300,2,77219,1401951,01/15/21
G,Guyana,6805,60,170 ,0,6083,552,4,43143,788612,01/15/21
M,Mayotte,6611,356,58 ,2,2964,3589,3,42849,276340,01/15/21
L,Lesotho,6371,15,93 ,4,1635,4643,0,42603,2151449,01/15/21
A,Aruba,6350,54,52 ,0,5757,541,11,74748,107012,01/15/21
M,Martinique,6263,0,44 ,0,98,6121,2,79166,375106,01/15/21
N,Nicaragua,6152,0,167 ,0,4225,1760,0,0,6667139,01/15/21
I,Iceland,5956,8,29 ,0,5767,160,0,459132,342444,01/15/21
D,Djibouti,5903,3,61 ,0,5816,26,0,104206,995749,01/15/21
E,Equatorial Guinea,5316,0,86 ,0,5169,61,0,80437,1427509,01/15/21
C,CAR,4973,0,63 ,0,4885,25,2,35523,4874963,01/15/21
S,Somalia,4744,0,130 ,0,3666,948,0,0,16130028,01/15/21
C,Curaçao,4505,7,19 ,0,4253,233,4,40934,164457,01/15/21
T,Togo,4220,55,73 ,0,3731,416,0,192034,8382694,01/15/21
N,Niger,4105,47,138 ,1,2862,1105,3,68039,24671647,01/15/21
G,Gambia,3897,4,127 ,0,3689,81,1,31722,2452922,01/15/21
S,South Sudan,3670,0,63 ,0,3181,426,1,80036,11264642,01/15/21
G,Gibraltar,3575,66,30 ,5,2432,1113,140,139875,33686,01/15/21
B,Benin,3413,0,46 ,0,3245,122,0,402795,12293002,01/15/21
C,Channel Islands,3353,16,76 ,0,2997,280,10,291147,174730,01/15/21
S,Sierra Leone,2959,26,77 ,0,2025,857,0,0,8064106,01/15/21
C,Chad,2807,34,111 ,1,2080,616,0,0,16677436,01/15/21
S,San Marino,2767,29,65 ,0,2430,272,9,30007,33970,01/15/21
G,Guinea-Bissau,2478,0,45 ,0,2400,33,5,39578,1992921,01/15/21
L,Liechtenstein,2378,3,49 ,0,2264,65,9,22308,38187,01/15/21
N,New Zealand,2246,18,25 ,0,2145,76,0,1457076,5002100 ,01/15/21
Y,Yemen,2111,1,612 ,0,1419,80,23,17404,30178326,01/15/21
L,Liberia,1882,4,84 ,0,1701,97,2,60252,5121376,01/15/21
E,Eritrea,1877,72,6 ,0,1073,798,0,23693,3572905,01/15/21
S,Sint Maarten,1641,12,27 ,0,1491,123,3,12629,43139,01/15/21
V,Vietnam,1536,5,35 ,0,1380,121,0,1431631,97812728,01/15/21
M,Mongolia,1491,12,2 ,0,909,580,14,820270,3306730,01/15/21
C,Comoros,1469,66,38 ,0,1028,403,0,0,879543,01/15/21
M,Monaco,1169,24,7 ,0,962,200,9,51953,39393,01/15/21
B,Burundi,1150,47,2 ,0,773,375,0,90019,12079647,01/15/21
S,Sao Tome and Principe,1125,6,17 ,0,993,115,0,7498,221348,01/15/21
S,Saint Martin,1076,0,12 ,0,855,209,7,12433,39021,01/15/21
T,Turks and Caicos,1062,32,6 ,0,862,194,2,12614,39000,01/15/21
B,Barbados,1036,0,7 ,0,493,536,1,85791,287566,01/15/21
T,Taiwan,843,1,7 ,0,741,95,0,135340,23840222,01/15/21
B,Bhutan,837,3,1 ,0,533,303,0,357847,776201,01/15/21
P,Papua New Guinea,834,1,9 ,0,755,70,0,39761,9038140,01/15/21
D,Diamond Princess,712,0,13 ,0,699,0,0,0,0,01/15/21
B,Bermuda,667,3,12 ,0,571,84,7,152761,62152,01/15/21
S,Seychelles,656,29,1 ,0,460,195,0,5200,98677,01/15/21
F,Faeroe Islands,648,1,1 ,0,626,21,1,213601,48964,01/15/21
S,Saint Lucia,576,33,6 ,0,329,241,1,21807,184083,01/15/21
M,Mauritius,547,0,10 ,0,516,21,0,289552,1272916,01/15/21
T,Tanzania,509,0,21 ,0,183,305,7,0,60642485,01/15/21
C,Cambodia,426,15,0,0,381,45,0,364159,16843814,01/15/21
I,Isle of Man,418,1,25 ,0,354,39,1,24873,85277,01/15/21
S,St. Vincent Grenadines,388,48,0,0,106,282,2,23741,111131,01/15/21
C,Cayman Islands,374,6,2 ,0,328,44,1,63727,66139,01/15/21
S,St. Barth,251,0,1 ,0,172,78,0,8518,9893,01/15/21
C,Caribbean Netherlands,249,0,3 ,0,181,65,0,4453,26355,01/15/21
A,Antigua and Barbuda,184,0,6 ,0,156,22,1,7422,98368,01/15/21
B,Brunei ,174,0,3 ,0,168,3,0,86367,439746,01/15/21
G,Grenada,139,7,1,0,129,9,0,18314,112806,01/15/21
B,British Virgin Islands,114,0,1 ,0,95,18,0,13223,30340,01/15/21
D,Dominica,109,0,0,0,101,8,0,8114,72083,01/15/21
F,Fiji,53,0,2 ,0,47,4,0,21925,899966,01/15/21
T,Timor-Leste,51,0,0,0,45,6,0,17834,1331944,01/15/21
M,Macao,46,0,0,0,46,0,0,4238,654112,01/15/21
L,Laos,41,0,0,0,41,0,0,97529,7332499,01/15/21
N,New Caledonia,41,1,0,0,40,1,0,19824,286983,01/15/21
S,Saint Kitts and Nevis,34,0,0,0,31,3,0,6091,53403,01/15/21
F,Falkland Islands,32,0,0,0,27,5,0,5961,3534,01/15/21
G,Greenland,30,0,0,0,29,1,0,16489,56824,01/15/21
V,Vatican City,27,0,0,0,15,12,0,0,802,01/15/21
S,Solomon Islands,17,0,0,0,10,7,0,4500,695903,01/15/21
S,Saint Pierre Miquelon,16,0,0,0,16,0,0,3344,5779,01/15/21
A,Anguilla,15,0,0,0,13,2,0,6449,15075,01/15/21
M,Montserrat,13,0,1 ,0,12,0,0,626,4994,01/15/21
W,Western Sahara,10,0,1 ,0,8,1,0,0,605202,01/15/21
M,MS Zaandam,9,0,2 ,0,7,0,0,0,0,01/15/21
M,Marshall Islands,4,0,0,0,4,0,0,0,59407,01/15/21
W,Wallis and Futuna,4,0,0,0,1,3,0,1149,11131,01/15/21
S,Samoa,2,0,0,0,2,0,0,0,199129,01/15/21
M,Micronesia,1,0,0,0,0,1,0,0,115675,01/15/21
V,Vanuatu,1,0,0,0,1,0,0,470,310991,01/15/21
U,USA,28708224,71368,509887 ,1919,18907811,9290526,17198,346952971,332251503,02/15/21
I,India,10991091,14315,156339 ,99,10687538,147214,8944,210261480,1388716017,02/15/21
B,Brazil,10139148,57455,246006 ,1051,9067939,825203,8318,28600000,213530970,02/15/21
R,Russia,4151984,12953,82876 ,480,3697433,371675,2300,108700000,145974831,02/15/21
U,UK,4105675,10406,120365 ,445,2437693,1547617,2469,84710387,68115526,02/15/21
F,France,3583135,22371,84147 ,183,247127,3251861,3394,49251253,65366611,02/15/21
S,Spain,3140064,6942,67279 ,178,2471589,601196,3739,37334915,46766461,02/15/21
I,Italy,2795794,14929,95486 ,251,2315687,384621,2063,37807953,60404419,02/15/21
T,Turkey,2631876,7857,27983 ,80,2518758,85135,1180,32217077,84921494,02/15/21
G,Germany,2388417,7158,68343 ,225,2185100,134974,3177,42872730,83956542,02/15/21
C,Colombia,2222018,5017,58685 ,174,2115470,47863,3092,11130308,51230969,02/15/21
A,Argentina,2060625,5944,51122 ,122,1861433,148070,3605,7106842,45462158,02/15/21
M,Mexico,2030491,7829,178965 ,857,1584704,266822,4798,5236429,129802228,02/15/21
P,Poland,1631729,8512,42077 ,254,1372326,217326,1304,9490578,37819850,02/15/21
I,Iran,1566081,7922,59409 ,68,1337877,168795,3677,10387561,84682138,02/15/21
S,South Africa,1502367,1690,48940 ,81,1409553,43874,546,8867659,59788107,02/15/21
U,Ukraine,1299967,6295,25045 ,73,1144516,130406,177,6651624,43563753,02/15/21
P,Peru,1275899,6376,44877 ,187,1176128,54894,2068,7214178,33266114,02/15/21
I,Indonesia,1271353,8054,34316 ,164,1078840,158197,0,10347047,275380019,02/15/21
C,Czechia,1146419,11271,19152 ,144,1017128,110139,1258,7314796,10721789,02/15/21
N,Netherlands,1051965,4565,15200 ,62,0,0,522,6970400,17159310,02/15/21
C,Canada,843301,2715,21630 ,54,789841,31830,581,23612896,37954751,02/15/21
P,Portugal,796339,1570,15897 ,76,696916,83526,656,7977384,10177498,02/15/21
C,Chile,795845,3906,19974 ,77,753037,22834,1574,8987249,19221632,02/15/21
R,Romania,777276,2721,19795 ,57,722484,34997,963,5861921,19154628,02/15/21
B,Belgium,749739,3437,21859 ,38,51395,676485,311,9105314,11622101,02/15/21
I,Israel,744513,0,5526 ,0,693730,45257,872,11590243,9197590 ,02/15/21
I,Iraq,664750,3273,13245 ,13,616507,34998,316,6512743,40797966,02/15/21
S,Sweden,631166,0,12649 ,0,0,0,207,5708037,10139775,02/15/21
P,Pakistan,569846,1340,12563 ,36,533202,24081,1604,8644847,223631772,02/15/21
P,Philippines,559281,2233,12068 ,239,513106,34107,785,8518507,110515808,02/15/21
S,Switzerland,547775,0,9886 ,3,497394,40495,187,4857927,8695315,02/15/21
B,Bangladesh,543024,350,8342 ,5,490892,43790,0,3933637,165742823,02/15/21
M,Morocco,480948,444,8548 ,8,464043,8357,271,5580143,37191167,02/15/21
A,Austria,443536,1877,8368 ,20,419283,15885,261,5081442,9039465,02/15/21
S,Serbia,434122,2442,4321 ,15,398652,31149,153,2835856,8714619,02/15/21
J,Japan,423311,1344,7333 ,59,397293,18685,526,7901922,126226271,02/15/21
H,Hungary,400111,2995,14252 ,107,304680,81179,351,3480444,9644504,02/15/21
S,Saudi Arabia,374691,325,6457 ,3,365745,2489,510,13296108,35160908,02/15/21
U,UAE,368175,3158,1108 ,15,356013,11054,0,29162427,9967038,02/15/21
J,Jordan,359811,2200,4543 ,15,334191,21077,187,4346414,10268168,02/15/21
L,Lebanon,353371,2306,4297 ,40,264894,84180,930,2892039,6805681,02/15/21
P,Panama,336037,698,5727 ,16,319821,10489,195,1840361,4358239,02/15/21
S,Slovakia,290457,2705,6424 ,74,255300,28733,620,1962613,5461348,02/15/21
M,Malaysia,280272,2461,1051 ,8,244753,34468,207,5821709,32631837,02/15/21
B,Belarus,276990,1668,1903 ,9,266892,8195,0,4771957,9447317,02/15/21
N,Nepal,273351,88,2061 ,0,269755,1535,0,2136309,29471790,02/15/21
E,Ecuador,273097,1821,15513 ,39,230377,27207,491,967777,17814574,02/15/21
G,Georgia,268097,396,3425 ,19,261066,3606,0,2547494,3984222,02/15/21
B,Bolivia,240676,1152,11390 ,37,183833,45453,71,666275,11775050,02/15/21
C,Croatia,239685,431,5420 ,13,231844,2421,78,1298994,4088885,02/15/21
B,Bulgaria,236439,548,9839 ,18,200138,26462,316,1586386,6914577,02/15/21
D,Dominican Republic,234502,904,3028 ,4,183720,47754,236,1172161,10917751,02/15/21
A,Azerbaijan,232973,144,3195 ,2,227619,2159,0,2543880,10197882,02/15/21
T,Tunisia,227643,903,7755 ,36,188317,31571,285,949940,11897997,02/15/21
I,Ireland,214378,978,4135 ,26,23364,186879,147,3377990,4973176,02/15/21
D,Denmark,207081,464,2333 ,6,199026,5722,51,15924564,5805341,02/15/21
K,Kazakhstan,206652,827,2540 ,0,190610,13502,221,7017565,18920753,02/15/21
C,Costa Rica,201678,0,2763 ,0,169053,29862,155,645809,5123997,02/15/21
L,Lithuania,193588,587,3162 ,15,179364,11062,155,2065712,2697626,02/15/21
S,Slovenia,184351,955,3769 ,7,169406,11176,109,882496,2079122,02/15/21
K,Kuwait,183322,862,1039 ,5,171260,11023,146,1725698,4311015,02/15/21
G,Greece,178918,1424,6272 ,23,158326,14320,325,4919379,10390128,02/15/21
E,Egypt,177543,600,10298 ,48,137294,29951,90,1000000,103567547,02/15/21
M,Moldova,176245,1062,3760 ,21,161220,11265,292,689027,4027907,02/15/21
P,Palestine,172315,598,1971 ,10,160763,9581,72,1110462,5176988,02/15/21
G,Guatemala,170931,656,6249 ,29,157794,6888,5,885032,18127346,02/15/21
A,Armenia,170234,223,3159 ,1,161903,5172,0,700797,2966814,02/15/21
H,Honduras,164077,772,3975 ,10,64168,95934,432,424963,10005420,02/15/21
Q,Qatar,159967,449,256 ,0,149740,9971,89,1495417,2807805 ,02/15/21
E,Ethiopia,151857,841,2271 ,12,131241,18345,337,2084845,116776729,02/15/21
N,Nigeria,151553,645,1831 ,18,128005,21717,10,1441013,209392646,02/15/21
P,Paraguay,150731,1047,3045 ,19,125967,21719,237,722710,7188719,02/15/21
M,Myanmar,141735,7,3196 ,2,131249,7290,0,2482290,54644386,02/15/21
O,Oman,138494,0,1549 ,0,130084,6861,56,1550000,5189287,02/15/21
V,Venezuela,135603,489,1312 ,4,127598,6693,112,2831008,28383882,02/15/21
L,Libya,129325,0,2088 ,0,114305,12932,0,704208,6931165,02/15/21
B,Bosnia and Herzegovina,128049,512,4995 ,16,111991,11063,0,641921,3267613,02/15/21
B,Bahrain,117234,752,420 ,2,109085,7729,68,2980752,1739011,02/15/21
A,Algeria,111764,164,2958 ,4,76940,31866,19,0,44357175,02/15/21
K,Kenya,103993,152,1817 ,4,85540,16636,47,1262358,54526645,02/15/21
A,Albania,99062,1153,1653 ,17,62533,34876,38,432078,2875768,02/15/21
N,North Macedonia,99031,447,3047 ,10,89249,6735,131,500551,2083319,02/15/21
C,China,89824,8,4636 ,0,84734,454,5,160000000,1439323776 ,02/15/21
S,S. Korea,86574,446,1553 ,3,77083,7938,156,6390629,51297644,02/15/21
K,Kyrgyzstan,85831,59,1452 ,2,82690,1689,29,719665,6593057,02/15/21
L,Latvia,81109,1069,1538 ,5,69993,9578,85,1425152,1872674,02/15/21
G,Ghana,79655,490,572 ,4,72516,6567,120,862986,31486857,02/15/21
U,Uzbekistan,79632,34,622 ,0,78127,883,153,1377915,33779868,02/15/21
S,Sri Lanka,79480,543,435 ,2,73456,5589,0,2030702,21471065,02/15/21
Z,Zambia,73894,691,1016 ,14,66943,5935,317,1047418,18711147,02/15/21
M,Montenegro,71593,481,939 ,7,62205,8449,68,265238,628117,02/15/21
N,Norway,68315,208,607 ,0,63783,3925,17,3677501,5448488,02/15/21
S,Singapore,59858,12,29 ,0,59719,110,1,7024683,5879915,02/15/21
E,El Salvador,58546,0,1792 ,7,53385,3369,40,742274,6507271,02/15/21
E,Estonia,57033,787,528 ,10,45080,11425,35,884985,1327110,02/15/21
A,Afghanistan,55604,24,2432 ,2,48820,4352,1031,284778,39487290,02/15/21
M,Mozambique,54968,764,587 ,4,34921,19460,0,401368,31811921,02/15/21
L,Luxembourg,53968,186,623 ,1,50386,2959,13,2051326,632494,02/15/21
F,Finland,53285,632,726 ,0,40000,12559,24,3179360,5546270,02/15/21
U,Uruguay,52163,786,569 ,6,45881,5713,69,965579,3481485,02/15/21
C,Cuba,43484,937,291 ,4,38190,5003,59,2245496,11322154,02/15/21
U,Uganda,40199,31,333 ,2,14578,25288,0,867506,46657066,02/15/21
N,Namibia,37295,302,402 ,3,35035,1858,9,291698,2570317,02/15/21
Z,Zimbabwe,35768,58,1432 ,2,32096,2240,32,324238,15001492,02/15/21
C,Cameroon,33749,0,523 ,0,31362,1864,38,149000,26966564,02/15/21
C,Cyprus,33153,107,229 ,0,2057,30867,22,1692024,1213010,02/15/21
S,Senegal,32630,252,795 ,8,26904,4931,52,371173,17024609,02/15/21
I,Ivory Coast,31914,89,185 ,0,30243,1486,0,401809,26794177,02/15/21
M,Malawi,30528,251,1004 ,7,16620,12904,4,181933,19444497,02/15/21
A,Australia,28920,2,909 ,0,26142,1869,0,14018400,25689677,02/15/21
S,Sudan,28038,0,1864 ,0,22638,3536,0,0,44501673,02/15/21
B,Botswana,26524,0,254 ,0,22363,3907,1,736373,2381940,02/15/21
T,Thailand,25323,82,83 ,0,24129,1111,1,1217873,69912857,02/15/21
D,DRC,25080,116,700 ,5,16135,8245,0,0,91289309,02/15/21
J,Jamaica,20924,343,391 ,0,12883,7650,20,192988,2969489,02/15/21
M,Malta,20762,199,303 ,2,17933,2526,18,671717,442301,02/15/21
A,Angola,20499,21,498 ,0,19005,996,4,182237,33514787,02/15/21
M,Madagascar,19598,0,292 ,0,18915,391,23,116740,28144030,02/15/21
M,Maldives,18612,145,60 ,2,16061,2491,162,488068,546631,02/15/21
F,French Polynesia,18346,0,137 ,0,4842,13367,4,26355,281953,02/15/21
R,Rwanda,17988,59,247 ,2,16597,1144,14,973922,13156645,02/15/21
M,Mauritania,17083,12,434 ,1,16376,273,14,164705,4727406,02/15/21
E,Eswatini,16764,22,645 ,1,12984,3135,36,149581,1167875,02/15/21
F,French Guiana,16529,0,83 ,0,9995,6451,11,146639,303608,02/15/21
M,Mayotte,15792,1300,92 ,3,2964,12736,31,97041,277008,02/15/21
G,Guinea,15395,179,86 ,0,14705,604,24,133289,13359292,02/15/21
S,Syria,15143,49,996 ,2,9144,5003,0,0,17771421,02/15/21
C,Cabo Verde,14999,51,143 ,1,14498,358,23,114859,559862,02/15/21
G,Gabon,13553,0,75 ,0,12262,1216,20,500953,2259196,02/15/21
T,Tajikistan,13308,0,90 ,0,13218,0,0,0,9674227,02/15/21
H,Haiti,12309,35,247 ,0,9529,2533,0,49333,11491667,02/15/21
B,Belize,12244,17,314 ,0,11749,181,4,80211,402242,02/15/21
B,Burkina Faso,11783,20,139 ,0,11140,504,0,0,21267659,02/15/21
R,Réunion,11562,0,48 ,0,10576,938,32,98785,899420,02/15/21
H,Hong Kong,10849,15,197 ,0,10362,290,18,7089664,7536070,02/15/21
A,Andorra,10672,27,107 ,0,10170,395,22,193595,77345,02/15/21
L,Lesotho,10461,6,285 ,0,3312,6864,0,59734,2153164,02/15/21
G,Guadeloupe,9528,0,158 ,0,2242,7128,5,128479,400168,02/15/21
S,Suriname,8856,2,168 ,0,8331,357,5,39893,590008,02/15/21
C,Congo,8419,0,123 ,0,7019,1277,0,92500,5604574,02/15/21
B,Bahamas,8403,0,179 ,0,7148,1076,3,65392,395657,02/15/21
G,Guyana,8399,42,189 ,0,7729,481,10,58802,788995,02/15/21
M,Mali,8292,32,347 ,3,6263,1682,0,145929,20621335,02/15/21
T,Trinidad and Tobago,7676,10,139 ,1,7392,145,2,93391,1402408,02/15/21
A,Aruba,7647,48,71 ,0,7291,285,11,100052,107058,02/15/21
M,Martinique,6625,0,45 ,0,98,6482,2,98380,375077,02/15/21
S,South Sudan,6417,150,85 ,2,4014,2318,10,102251,11277905,02/15/21
N,Nicaragua,6398,0,172 ,0,4225,2001,0,0,6675105,02/15/21
T,Togo,6268,86,81 ,0,5296,891,0,226941,8402361,02/15/21
I,Iceland,6045,0,29 ,0,5989,27,8,494536,342667,02/15/21
D,Djibouti,6022,0,63 ,0,5873,86,0,113503,997202,02/15/21
S,Somalia,5889,257,194 ,15,3757,1938,0,0,16175026,02/15/21
E,Equatorial Guinea,5798,51,89 ,1,5488,221,4,96237,1432193,02/15/21
B,Benin,5143,0,65 ,0,4119,959,0,462324,12325212,02/15/21
C,CAR,5001,0,63 ,0,4920,18,2,35523,4883462,02/15/21
N,Niger,4733,8,170 ,0,4235,328,3,78967,24760770,02/15/21
C,Curaçao,4681,6,22 ,0,4603,56,1,48711,164525,02/15/21
G,Gambia,4554,11,144 ,1,4011,399,8,39664,2459812,02/15/21
G,Gibraltar,4228,0,88 ,0,4092,48,6,179938,33685,02/15/21
C,Channel Islands,4025,2,85 ,0,3829,111,4,358892,174892,02/15/21
S,Sierra Leone,3849,8,79 ,0,2603,1167,0,116448,8080536,02/15/21
C,Chad,3794,18,133 ,1,3259,402,0,0,16725278,02/15/21
C,Comoros,3490,17,143 ,1,3059,288,0,0,881419,02/15/21
S,San Marino,3472,32,72 ,0,3092,308,5,39960,33977,02/15/21
G,Guinea-Bissau,3091,27,46 ,0,2500,545,7,50038,1997636,02/15/21
