Country,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,vaccinated,fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index,A_Date,continent,iso_code
F,Finland,1,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,0,153.507,5.76,18.3,22.6,81.91,0.938,2020-02-25,Europe,FIN
F,France,14,2,0.286,1,0,0,0.205,0.029,0.004,0.015,0,0,0,0,0,2,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.89,68147687,122.578,42,19.718,13.079,38605.671,0,86.06,4.77,30.1,35.6,82.66,0.901,2020-02-25,Europe,FRA
G,Germany,17,1,0.143,0,0,0,0.203,0.012,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,83783945,237.016,46.6,21.453,15.957,45229.245,0,156.139,8.31,28.2,33.1,81.33,0.947,2020-02-25,Europe,DEU
G,Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,people tested,0,0,0,0,0,0,0,0,0,11.11,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,0,0,74.3,0.663,2020-02-25,North America,GTM
I,India,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,69.66,0.645,2020-02-25,Asia,IND
I,Iran,95,34,13.571,16,4,2.286,1.131,0.405,0.162,0.19,0.048,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,76.68,0.783,2020-02-25,Asia,IRN
I,Iraq,1,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.93,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,0,0,70.6,0.674,2020-02-25,Asia,IRQ
I,Israel,1,0,0,0,0,0,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,309,0.036,0.012,0,0,0,0,tests performed,0,0,0,0,0,0,0,0,0,19.44,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,82.97,0.919,2020-02-25,Asia,ISR
I,Italy,322,93,45.571,10,3,1.429,5.326,1.538,0.754,0.165,0.05,0.024,3.51,35,0.579,149,2.464,0,0,0,0,4299,8623,0.143,0.071,0,0,0,0,tests performed,0,0,0,0,0,0,0,0,0,69.91,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,83.51,0.892,2020-02-25,Europe,ITA
J,Japan,173,13,13.429,3,1,0.143,1.368,0.103,0.106,0.024,0.008,0.001,1.08,0,0,0,0,0,0,0,0,44,933,0.007,0,76,0.001,0.177,5.7,people tested,0,0,0,0,0,0,0,0,0,34.26,126476458,347.778,48.2,27.049,18.493,39002.223,0,79.37,5.72,11.2,33.7,84.63,0.919,2020-02-25,Asia,JPN
K,Kuwait,11,10,0,0,0,0,2.576,2.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.89,4270563,232.128,33.7,2.345,1.114,65530.537,0,132.235,15.84,2.7,37,75.49,0.806,2020-02-25,Asia,KWT
L,Lebanon,1,0,0,0,0,0,0.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,6825442,594.561,31.1,8.514,5.43,13367.565,0,266.591,12.71,26.9,40.7,78.93,0.744,2020-02-25,Asia,LBN
L,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0.014,0.011,0,0,0,0,tests performed,0,0,0,0,0,0,0,0,0,0,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,82.25,0.916,2020-02-25,Europe,LUX
M,Malaysia,22,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1067,0.033,0,39,0.001,0,0,people tested,0,0,0,0,0,0,0,0,0,19.44,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,76.16,0.81,2020-02-25,Asia,MYS
