Country,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,vaccinated,fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index,A_Date,continent,iso_code
B,Botswana,22,0,1,1,0,0,9.355,0,0.425,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.11,2351625,4.044,25.8,3.941,2.242,15807.374,0,237.372,4.81,5.7,34.4,69.59,0.735,2020-04-25,Africa,BWA
B,Brazil,59324,5281,3238,4057,353,243.286,279.094,24.845,15.233,19.086,1.661,1.145,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.54,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,75.88,0.765,2020-04-25,South America,BRA
B,Brunei,138,0,0.143,1,0,0,315.441,0,0.327,2.286,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.33,437483,81.347,32.4,4.591,2.382,71809.251,0,201.285,12.79,2,30.9,75.86,0.838,2020-04-25,Asia,BRN
B,Bulgaria,1247,13,52.714,55,1,2,179.465,1.871,7.586,7.915,0.144,0.288,1.34,41,5.901,292,42.024,0,0,0,0,0,0,0,0,1339,0.193,0.039,25.4,tests performed,0,0,0,0,0,0,0,0,0,73.15,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,75.05,0.816,2020-04-25,Europe,BGR
B,Burkina Faso,629,0,9.143,41,0,0.714,30.091,0,0.437,1.961,0,0.034,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.26,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,61.58,0.452,2020-04-25,Africa,BFA
B,Burundi,11,0,0.857,1,0,0,0.925,0,0.072,0.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.89,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,0,0,61.58,0.433,2020-04-25,Africa,BDI
C,Cambodia,122,0,0,0,0,0,7.297,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.41,16718971,90.672,25.6,4.412,2.385,3645.07,0,270.892,4,2,33.7,69.82,0.594,2020-04-25,Asia,KHM
C,Cameroon,1518,88,71.571,53,10,4.429,57.184,3.315,2.696,1.997,0.377,0.167,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.3,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,0,0,59.29,0.563,2020-04-25,Africa,CMR
C,Canada,46371,1452,1716.429,3217,187,175.714,1228.626,38.472,45.478,85.236,4.955,4.656,1.06,533,14.122,2649,70.187,0,0,0,0,28763,559114,14.814,0.762,22765,0.603,0.075,13.3,tests performed,0,0,0,0,0,0,0,0,0,72.69,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,82.43,0.929,2020-04-25,North America,CAN
C,Cape Verde,90,2,4.571,1,0,0,161.874,3.597,8.222,1.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.63,555988,135.58,25.7,4.46,3.437,6222.554,0,182.219,2.42,2.1,16.5,72.98,0.665,2020-04-25,Africa,CPV
C,Central African Republic,16,0,0.571,0,0,0,3.313,0,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.52,4829764,7.479,18.3,3.655,2.251,661.24,0,435.727,6.1,0,0,53.28,0.397,2020-04-25,Africa,CAF
C,Chad,46,6,1.857,0,0,0,2.8,0.365,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.89,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,0,0,54.24,0.398,2020-04-25,Africa,TCD
C,Chile,14537,1363,562.714,181,7,7.857,760.454,71.301,29.436,9.468,0.366,0.411,1.32,0,0,0,0,0,0,0,0,6945,149212,7.806,0.363,5760,0.301,0.12,8.3,tests performed,0,0,0,0,0,0,0,0,0,73.15,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,80.18,0.851,2020-04-25,South America,CHL
C,China,83909,10,17.429,4636,0,0,58.298,0.007,0.012,3.221,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.94,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,76.91,0.761,2020-04-25,Asia,CHN
C,Colombia,5142,261,217.286,233,8,9.571,101.056,5.129,4.27,4.579,0.157,0.188,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.04,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,77.29,0.767,2020-04-25,South America,COL
C,Congo,200,0,8.143,6,0,0,36.244,0,1.476,1.087,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.22,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,64.57,0.574,2020-04-25,Africa,COG
C,Costa Rica,693,6,5.429,6,0,0.286,136.039,1.178,1.066,1.178,0,0.056,0.78,0,0,0,0,0,0,0,0,87,8789,1.725,0.017,165,0.032,0.033,30.3,people tested,0,0,0,0,0,0,0,0,0,75.93,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,80.28,0.81,2020-04-25,North America,CRI
C,Cote d'Ivoire,1077,0,39.429,14,0,0.857,40.829,0,1.495,0.531,0,0.032,1.16,0,0,0,0,0,0,0,0,302,7732,0.293,0.011,393,0.015,0.1,10,samples tested,0,0,0,0,0,0,0,0,0,80.56,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,0,0,57.78,0.538,2020-04-25,Africa,CIV
C,Croatia,2016,7,26.286,54,3,2.143,491.076,1.705,6.403,13.154,0.731,0.522,0.52,0,0,316,76.974,0,0,0,0,700,30913,7.53,0.171,1324,0.323,0.02,50.4,people tested,0,0,0,0,0,0,0,0,0,96.3,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,78.49,0.851,2020-04-25,Europe,HRV
C,Cuba,1337,52,50.143,51,2,2.714,118.041,4.591,4.427,4.503,0.177,0.24,0.91,0,0,0,0,0,0,0,0,1837,39828,3.516,0.162,1835,0.162,0.027,36.6,tests performed,0,0,0,0,0,0,0,0,0,83.33,11326616,110.408,43.1,14.738,9.719,0,0,190.968,8.27,17.1,53.3,78.8,0.783,2020-04-25,North America,CUB
C,Cyprus,810,6,7,14,0,0.286,924.764,6.85,7.992,15.984,0,0.326,0.63,9,10.275,33,37.676,0,0,0,0,2467,45900,52.403,2.817,1961,2.239,0.004,280.1,tests performed,0,0,0,0,0,0,0,0,0,94.44,875899,127.657,37.3,13.416,8.563,32415.132,0,141.171,9.24,19.6,52.7,80.98,0.887,2020-04-25,Europe,CYP
C,Czechia,7352,79,106.571,218,4,5.286,686.527,7.377,9.952,20.357,0.374,0.494,0.66,71,6.63,314,29.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.19,10708982,137.176,43.3,19.027,11.58,32605.906,0,227.485,6.82,30.5,38.3,79.38,0.9,2020-04-25,Europe,CZE
D,Democratic Republic of Congo,416,22,15.571,28,3,0.429,4.645,0.246,0.174,0.313,0.033,0.005,1.24,0,0,0,0,0,0,0,0,190,0,0,0.002,122,0.001,0.128,7.8,samples tested,0,0,0,0,0,0,0,0,0,80.56,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,0,0,60.68,0.48,2020-04-25,Africa,COD
D,Denmark,8643,235,172.286,418,15,10.286,1492.178,40.572,29.744,72.166,2.59,1.776,0.9,0,0,0,0,0,0,0,0,12416,175082,30.227,2.144,9926,1.714,0.017,57.6,tests performed,0,0,0,0,0,0,0,0,0,68.52,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,80.9,0.94,2020-04-25,Europe,DNK
D,Djibouti,1008,9,39.429,2,0,0,1020.241,9.109,39.907,2.024,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.44,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,67.11,0.524,2020-04-25,Africa,DJI
D,Dominica,16,0,0,0,0,0,222.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.63,71991,98.567,0,0,0,9673.367,0,227.376,11.62,0,0,75,0.742,2020-04-25,North America,DMA
D,Dominican Republic,5926,177,227.286,273,6,8,546.281,16.317,20.952,25.166,0.553,0.737,1.12,0,0,0,0,0,0,0,0,1214,22498,2.074,0.112,988,0.091,0.23,4.3,samples tested,0,0,0,0,0,0,0,0,0,96.3,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,74.08,0.756,2020-04-25,North America,DOM
E,Ecuador,22719,0,1956.714,576,0,17.143,1287.702,0,110.906,32.647,0,0.972,0.99,0,0,0,0,0,0,0,0,0,0,0,0,1392,0.079,0,0,people tested,0,0,0,0,0,0,0,0,0,93.52,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,77.01,0.759,2020-04-25,South America,ECU
E,Egypt,4319,227,183.857,307,13,11.857,42.205,2.218,1.797,3,0.127,0.116,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.26,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,71.99,0.707,2020-04-25,Africa,EGY
E,El Salvador,274,0,12,8,0,0.143,42.244,0,1.85,1.233,0,0.022,1.32,0,0,0,0,0,0,0,0,1263,13797,2.127,0.195,1075,0.166,0.011,89.6,tests performed,0,0,0,0,0,0,0,0,0,94.44,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,73.32,0.673,2020-04-25,North America,SLV
E,Equatorial Guinea,258,44,25.571,1,0,0.143,183.894,31.362,18.226,0.713,0,0.102,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1402985,45.194,22.4,2.846,1.752,22604.873,0,202.812,7.78,0,0,58.74,0.592,2020-04-25,Africa,GNQ
E,Eritrea,39,0,0,0,0,0,10.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.52,3546427,44.304,19.3,3.607,2.171,1510.459,0,311.11,6.05,0.2,11.4,66.32,0.459,2020-04-25,Africa,ERI
E,Estonia,1635,30,17.571,46,0,1.143,1232.531,22.615,13.246,34.677,0,0.862,0.64,11,8.292,95,71.615,0,0,0,0,677,51615,38.91,0.51,1246,0.939,0.014,70.9,tests performed,0,0,0,0,0,0,0,0,0,77.78,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,78.74,0.892,2020-04-25,Europe,EST
E,Eswatini,56,20,4.857,1,0,0,48.269,17.239,4.187,0.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.26,1160164,79.492,21.5,3.163,1.845,7738.975,0,333.436,3.94,1.7,16.5,60.19,0.611,2020-04-25,Africa,SWZ
E,Ethiopia,122,5,2.429,3,0,0,1.061,0.043,0.021,0.026,0,0,0.37,0,0,0,0,0,0,0,0,1019,12688,0.11,0.009,828,0.007,0.003,340.9,tests performed,0,0,0,0,0,0,0,0,0,80.56,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,66.6,0.485,2020-04-25,Africa,ETH
F,Fiji,18,0,0.143,0,0,0,20.079,0,0.159,0,0,0,0,0,0,0,0,0,0,0,0,60,1013,1.13,0.067,38,0.042,0.004,265.7,tests performed,0,0,0,0,0,0,0,0,0,86.11,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,67.44,0.743,2020-04-25,Oceania,FJI
F,Finland,4475,80,113.429,186,9,13.714,807.657,14.439,20.472,33.57,1.624,2.475,0.96,60,10.829,190,34.292,0,0,0,0,3141,87863,15.858,0.567,3302,0.596,0.034,29.1,tests performed,0,0,0,0,0,0,0,0,0,60.19,5540718,18.136,42.8,21.228,13.264,40585.721,0,153.507,5.76,18.3,22.6,81.91,0.938,2020-04-25,Europe,FIN
F,France,161647,1678,1540.571,22588,369,469,2372.01,24.623,22.606,331.457,5.415,6.882,0.66,4641,68.102,28119,412.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.96,68147687,122.578,42,19.718,13.079,38605.671,0,86.06,4.77,30.1,35.6,82.66,0.901,2020-04-25,Europe,FRA
G,Gabon,176,4,9.714,3,0,0.286,79.075,1.797,4.365,1.348,0,0.128,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.48,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,0,0,66.47,0.703,2020-04-25,Africa,GAB
G,Gambia,10,0,0.143,1,0,0,4.138,0,0.059,0.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.006,0.01,97.9,samples tested,0,0,0,0,0,0,0,0,0,78.7,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,62.05,0.496,2020-04-25,Africa,GMB
G,Georgia,456,12,9.714,5,0,0.143,114.309,3.008,2.435,1.253,0,0.036,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,73.77,0.812,2020-04-25,Asia,GEO
G,Germany,156513,1514,1881.571,5877,117,202.571,1868.055,18.07,22.457,70.145,1.396,2.418,0.68,2538,30.292,0,0,0,0,0,0,0,0,0,0,51468,0.614,0,0,tests performed,0,0,0,0,0,0,0,0,0,76.85,83783945,237.016,46.6,21.453,15.957,45229.245,0,156.139,8.31,28.2,33.1,81.33,0.947,2020-04-25,Europe,DEU
G,Ghana,1279,0,63.571,10,0,0.143,41.161,0,2.046,0.322,0,0.005,1.52,0,0,0,0,0,0,0,0,0,100622,3.238,0,5672,0.183,0.011,89.2,samples tested,0,0,0,0,0,0,0,0,0,62.04,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,64.07,0.611,2020-04-25,Africa,GHA
G,Greece,2506,16,38.714,130,0,2.857,240.429,1.535,3.714,12.472,0,0.274,0.79,0,0,0,0,0,0,0,0,1680,63087,6.053,0.161,1400,0.134,0.028,36.2,samples tested,0,0,0,0,0,0,0,0,0,84.26,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,82.24,0.888,2020-04-25,Europe,GRC
G,Grenada,18,3,0.571,0,0,0,159.973,26.662,5.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112519,317.132,29.4,7.304,5.021,13593.877,0,243.964,10.71,0,0,72.4,0.779,2020-04-25,North America,GRD
G,Guatemala,473,43,34,13,2,0.857,26.402,2.4,1.898,0.726,0.112,0.048,1.34,0,0,0,0,0,0,0,0,420,4535,0.253,0.023,251,0.014,0.135,7.4,people tested,0,0,0,0,0,0,0,0,0,96.3,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,0,0,74.3,0.663,2020-04-25,North America,GTM
G,Guinea,996,42,68.286,7,1,0.571,75.841,3.198,5.2,0.533,0.076,0.044,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.7,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,0,0,61.6,0.477,2020-04-25,Africa,GIN
G,Guinea-Bissau,52,0,0.857,0,0,0,26.423,0,0.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,0,0,58.32,0.48,2020-04-25,Africa,GNB
G,Guyana,73,0,1.429,7,0,0.143,92.809,0,1.816,8.9,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.04,786559,3.952,26.3,5.305,2.837,7435.047,0,373.159,11.62,0,0,69.91,0.682,2020-04-25,South America,GUY
H,Haiti,72,10,4.143,5,2,0.286,6.314,0.877,0.363,0.438,0.175,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.81,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,64,0.51,2020-04-25,North America,HTI
H,Honduras,627,36,24.286,59,4,1.857,63.304,3.635,2.452,5.957,0.404,0.188,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,0,75.27,0.634,2020-04-25,North America,HND
H,Hungary,2443,0,87,262,0,12.857,252.889,0,9.006,27.121,0,1.331,0.92,0,0,899,93.061,0,0,0,0,2550,60571,6.27,0.264,2414,0.25,0.036,27.7,tests performed,0,0,0,0,0,0,0,0,0,76.85,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,76.88,0.854,2020-04-25,Europe,HUN
I,Iceland,1790,1,4.286,10,0,0.143,5245.421,2.93,12.559,29.304,0,0.419,0.27,0,0,14,41.026,0,0,0,0,381,46311,135.71,1.116,513,1.503,0.008,119.7,tests performed,0,0,0,0,0,0,0,0,0,53.7,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,82.99,0.949,2020-04-25,Europe,ISL
I,India,26283,1753,1508.714,825,45,43.429,19.046,1.27,1.093,0.598,0.033,0.031,1.41,0,0,0,0,0,0,0,0,38168,579957,0.42,0.028,29691,0.022,0.051,19.7,samples tested,0,0,0,0,0,0,0,0,0,96.3,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,69.66,0.645,2020-04-25,Asia,IND
I,Indonesia,8607,396,337,720,31,26.429,31.467,1.448,1.232,2.632,0.113,0.097,1.1,0,0,0,0,0,0,0,0,1978,52541,0.192,0.007,1874,0.007,0.18,5.6,people tested,0,0,0,0,0,0,0,0,0,80.09,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,71.72,0.718,2020-04-25,Asia,IDN
I,Iran,89328,1134,1208.571,5650,76,88.429,1063.518,13.501,14.389,67.268,0.905,1.053,0.81,0,0,0,0,0,0,0,0,10148,410075,4.882,0.121,11420,0.136,0.106,9.4,tests performed,0,0,0,0,0,0,0,0,0,53.7,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,76.68,0.783,2020-04-25,Asia,IRN
I,Iraq,1763,55,35.714,86,0,0.571,43.831,1.367,0.888,2.138,0,0.014,1.24,0,0,0,0,0,0,0,0,931,68224,1.696,0.023,2038,0.051,0.018,57.1,samples tested,0,0,0,0,0,0,0,0,0,85.19,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,0,0,70.6,0.674,2020-04-25,Asia,IRQ
I,Ireland,18561,377,543.286,1063,49,70.286,3758.965,76.35,110.026,215.278,9.923,14.234,0.84,123,24.91,736,149.054,0,0,0,0,5632,133265,26.989,1.141,4163,0.843,0.131,7.7,tests performed,0,0,0,0,0,0,0,0,0,90.74,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,82.3,0.955,2020-04-25,Europe,IRL
I,Israel,15302,159,252.143,202,3,5.143,1767.885,18.37,29.131,23.338,0.347,0.594,0.62,0,0,442,51.066,0,0,0,0,9077,330610,38.196,1.049,12805,1.479,0.02,50.8,tests performed,0,0,0,0,0,0,0,0,0,87.96,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,82.97,0.919,2020-04-25,Asia,ISR
I,Italy,195351,2357,2775.143,26384,415,451,3230.981,38.983,45.899,436.375,6.864,7.459,0.77,2102,34.766,23635,390.908,0,0,0,0,65387,1707743,28.245,1.081,57416,0.95,0.048,20.7,tests performed,0,0,0,0,0,0,0,0,0,93.52,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,83.51,0.892,2020-04-25,Europe,ITA
J,Jamaica,305,17,20.286,7,0,0.286,103,5.741,6.851,2.364,0,0.096,1.01,0,0,0,0,0,0,0,0,0,0,0,0,185,0.062,0.11,9.1,samples tested,0,0,0,0,0,0,0,0,0,87.04,2961161,266.879,31.4,9.684,6.39,8193.571,0,206.537,11.28,5.3,28.6,74.47,0.734,2020-04-25,North America,JAM
J,Japan,13186,332,376.857,379,19,20.429,104.257,2.625,2.98,2.997,0.15,0.162,0.74,0,0,0,0,0,0,0,0,1250,124277,0.983,0.01,4502,0.036,0.084,11.9,people tested,0,0,0,0,0,0,0,0,0,47.22,126476458,347.778,48.2,27.049,18.493,39002.223,0,79.37,5.72,11.2,33.7,84.63,0.919,2020-04-25,Asia,JPN
J,Jordan,444,3,4.429,7,0,0,43.516,0.294,0.434,0.686,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.3,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,0,0,74.53,0.729,2020-04-25,Asia,JOR
K,Kazakhstan,2601,119,140.857,25,0,1.143,138.523,6.338,7.502,1.331,0,0.061,1.32,0,0,0,0,0,0,0,0,15997,180502,9.613,0.852,11375,0.606,0.012,80.8,tests performed,0,0,0,0,0,0,0,0,0,92.13,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,73.6,0.825,2020-04-25,Asia,KAZ
K,Kenya,343,7,11.571,14,0,0.286,6.379,0.13,0.215,0.26,0,0.005,1.14,0,0,0,0,0,0,0,0,0,0,0,0,777,0.014,0.015,67.2,samples tested,0,0,0,0,0,0,0,0,0,88.89,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,66.7,0.601,2020-04-25,Africa,KEN
K,Kosovo,703,34,31.857,19,0,1,363.726,17.591,16.483,9.83,0,0.517,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.59,1932774,168.155,0,0,0,9795.834,0.6,0,0,0,0,0,0,2020-04-25,Europe,OWID_KOS
K,Kuwait,2892,278,163,19,4,1.857,677.194,65.097,38.168,4.449,0.937,0.435,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.89,4270563,232.128,33.7,2.345,1.114,65530.537,0,132.235,15.84,2.7,37,75.49,0.806,2020-04-25,Asia,KWT
K,Kyrgyzstan,665,0,22.714,8,0,0.429,101.928,0,3.482,1.226,0,0.066,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.13,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,71.45,0.697,2020-04-25,Asia,KGZ
L,Laos,19,0,0,0,0,0,2.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.3,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,67.92,0.613,2020-04-25,Asia,LAO
L,Latvia,804,20,13.143,12,0,1,426.253,10.603,6.968,6.362,0,0.53,0.88,0,0,39,20.676,0,0,0,0,2663,45743,24.251,1.412,1578,0.837,0.008,120.1,tests performed,0,0,0,0,0,0,0,0,0,69.44,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,75.29,0.866,2020-04-25,Europe,LVA
L,Lebanon,704,8,4.571,24,2,0.429,103.144,1.172,0.67,3.516,0.293,0.063,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.19,6825442,594.561,31.1,8.514,5.43,13367.565,0,266.591,12.71,26.9,40.7,78.93,0.744,2020-04-25,Asia,LBN
L,Liberia,120,3,6.286,11,3,0.571,23.726,0.593,1.243,2.175,0.593,0.113,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.96,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,64.1,0.48,2020-04-25,Africa,LBR
L,Libya,61,0,1.714,2,0,0.143,8.878,0,0.249,0.291,0,0.021,0,0,0,0,0,0,0,0,0,42,0,0,0.006,78,0.011,0.022,45.5,samples tested,0,0,0,0,0,0,0,0,0,100,6871287,3.623,29,4.424,2.816,17881.509,0,341.862,10.43,0,0,72.91,0.724,2020-04-25,Africa,LBY
L,Liechtenstein,81,0,0.286,1,0,0,2123.922,0,7.492,26.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.48,38137,237.012,0,0,0,0,0,0,7.77,0,0,82.49,0.919,2020-04-25,Europe,LIE
L,Lithuania,1301,10,30,29,1,1,477.906,3.673,11.02,10.653,0.367,0.367,0.73,0,0,0,0,0,0,0,0,6786,96383,35.405,2.493,5673,2.084,0.007,142.9,tests performed,0,0,0,0,0,0,0,0,0,81.48,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,75.93,0.882,2020-04-25,Europe,LTU
L,Luxembourg,3711,16,24.857,85,0,1.857,5928.342,25.56,39.709,135.788,0,2.967,0.54,23,36.743,121,193.298,0,0,0,0,607,37135,59.323,0.97,817,1.305,0.03,32.9,tests performed,0,0,0,0,0,0,0,0,0,70.37,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,82.25,0.916,2020-04-25,Europe,LUX
