Country,location,Avg_TotalCase,total_cases,Avg_Ncase,new_cases,Avg_Tdeath,total_deaths,Avg_Ndeath,new_deaths,Avg_Ttest,total_tests,Avg_Tvaccine,total_vaccination,Avg_Hvaccin,vaccinated,Avg_Fvaccin,fully_vaccinated,Avg_Pop,population,Date,A_Date
A,Afghanistan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38928341,38928341,2/25/20,2020-02
A,Albania,0,0,0,0,0,0,0,0,16.4,8,0,0,0,0,0,0,2877800,2877800,2/25/20,2020-02
A,Algeria,1,1,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,43851043,43851043,2/25/20,2020-02
A,Australia,14.5,13,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,25499881,25499881,2/5/20,2020-02
A,Australia,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25499881,25499881,2/10/20,2020-02
A,Australia,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25499881,25499881,2/15/20,2020-02
A,Australia,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25499881,25499881,2/20/20,2020-02
A,Australia,17,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25499881,25499881,2/25/20,2020-02
A,Austria,3.8,2,1.8,2,0,0,0,0,0,0,0,0,0,0,0,0,9006400,9006400,2/25/20,2020-02
B,Bahrain,33.2,23,8,22,0,0,0,0,0,0,0,0,0,0,0,0,1701583,1701583,2/25/20,2020-02
B,Belgium,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11589616,11589616,2/5/20,2020-02
B,Belgium,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11589616,11589616,2/10/20,2020-02
B,Belgium,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11589616,11589616,2/15/20,2020-02
B,Belgium,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11589616,11589616,2/20/20,2020-02
B,Belgium,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11589616,11589616,2/25/20,2020-02
C,Cambodia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16718971,16718971,2/5/20,2020-02
C,Cambodia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16718971,16718971,2/10/20,2020-02
C,Cambodia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16718971,16718971,2/15/20,2020-02
C,Cambodia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16718971,16718971,2/20/20,2020-02
C,Cambodia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16718971,16718971,2/25/20,2020-02
C,Canada,6.333333333,5,0.6,1,0,0,0,0,12.6,0,0,0,0,0,0,0,37742157,37742157,2/5/20,2020-02
C,Canada,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37742157,37742157,2/10/20,2020-02
C,Canada,7.666666667,7,0.2,0,0,0,0,0,21.8,0,0,0,0,0,0,0,37742157,37742157,2/15/20,2020-02
C,Canada,9.333333333,8,0.4,0,0,0,0,0,75.6,0,0,0,0,0,0,0,37742157,37742157,2/20/20,2020-02
C,Canada,13.8,11,2,1,0,0,0,0,280.2,230,0,0,0,0,0,0,37742157,37742157,2/25/20,2020-02
C,Chile,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19116209,19116209,2/25/20,2020-02
C,China,35161.83333,27419,3222,3729,637,562,82.8,72,0,0,0,0,0,0,0,0,1439323774,1439323774,2/5/20,2020-02
C,China,54310.5,42316,5300.4,2516,1079.333333,1011,123.2,107,0,0,0,0,0,0,0,0,1439323774,1439323774,2/10/20,2020-02
C,China,72483.5,68357,1650.8,2055,1763.333333,1662,118.8,142,0,0,0,0,0,0,0,0,1439323774,1439323774,2/15/20,2020-02
C,China,76533.83333,75009,521.2,453,2304.333333,2236,95.8,122,0,0,0,0,0,0,0,0,1439323774,1439323774,2/20/20,2020-02
C,China,78469.6,77670,419.8,508,2707.333333,2663,48.4,70,0,0,0,0,0,0,0,0,1439323774,1439323774,2/25/20,2020-02
C,Croatia,3.6,1,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,4105268,4105268,2/25/20,2020-02
D,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5792203,5792203,2/5/20,2020-02
D,Denmark,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,5792203,5792203,2/10/20,2020-02
D,Denmark,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5792203,5792203,2/15/20,2020-02
D,Denmark,0,0,0,0,0,0,0,0,3.4,8,0,0,0,0,0,0,5792203,5792203,2/20/20,2020-02
D,Denmark,1,0,0.6,0,0,0,0,0,148,19,0,0,0,0,0,0,5792203,5792203,2/25/20,2020-02
E,Egypt,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102334403,102334403,2/15/20,2020-02
E,Egypt,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102334403,102334403,2/20/20,2020-02
E,Egypt,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102334403,102334403,2/25/20,2020-02
E,Estonia,0,0,0,0,0,0,0,0,0.6,1,0,0,0,0,0,0,1326539,1326539,2/5/20,2020-02
E,Estonia,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,1326539,1326539,2/10/20,2020-02
E,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1326539,1326539,2/15/20,2020-02
E,Estonia,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,1326539,1326539,2/20/20,2020-02
E,Estonia,0.6,0,0.2,0,0,0,0,0,24.2,5,0,0,0,0,0,0,1326539,1326539,2/25/20,2020-02
F,Fiji,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,896444,896444,2/5/20,2020-02
F,Fiji,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,896444,896444,2/10/20,2020-02
F,Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896444,896444,2/15/20,2020-02
F,Fiji,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,896444,896444,2/20/20,2020-02
